l,model_seed,train_index,test_index,tau_f_nmse,tau_f_se,nmse,se
87.0,44756784.0,113968.0,4097.0,10.0464,12.467,0.04361030335410158,0.0487724699863814
88.0,71288657.0,594.0,1105.0,10.9746,12.194,0.03412707177669089,0.03512471272085033
89.0,11957712.0,156530.0,676.0,10.428600000000001,10.410400000000001,0.036625337263601496,0.06119459646683378
90.0,80465023.0,142076.0,4401.0,11.757200000000001,12.3214,0.036121730740965294,0.037273959628831795
91.0,98575629.0,97240.0,3569.0,9.828000000000001,9.7734,0.04702437637189687,0.17779414838808202
92.0,58131410.0,128746.0,4312.0,13.6318,13.6318,0.03817592149579318,0.04509790472588709
93.0,94283674.0,44362.0,1812.0,10.5378,10.4832,0.04986938328388558,0.10469638858839928
94.0,98098969.0,175532.0,2979.0,6.2062,12.685400000000001,0.026810726110637107,0.034927331648905935
95.0,12942852.0,42500.0,1028.0,10.2284,12.084800000000001,0.04176786791130014,0.043175619571835716
96.0,27718523.0,140480.0,781.0,11.939200000000001,11.921000000000001,0.035732742459278585,0.06746704517448146
97.0,12472896.0,17717.0,2901.0,10.7926,10.738000000000001,0.03704109024951269,0.0998889343152182
98.0,73488786.0,64188.0,1344.0,10.101,11.921000000000001,0.031090890063752725,0.03482053159162758
99.0,27314401.0,165471.0,1129.0,7.7896,14.2688,0.035965300618421465,0.040920455402146144
100.0,80378467.0,95825.0,4714.0,9.282,11.1202,0.03554145348555658,0.04481494104215305
101.0,46974453.0,31272.0,2941.0,13.995800000000001,14.5418,0.027911145783609346,0.04332521655899978
102.0,85484822.0,116052.0,2274.0,11.648,12.248600000000001,0.028462297867449617,0.04566296427683751
103.0,19968798.0,39199.0,2153.0,11.484200000000001,11.4478,0.03927914266122688,0.08586516970791859
104.0,77697843.0,26749.0,4356.0,11.284,11.2658,0.039618025838572775,0.06887623698391934
105.0,60533491.0,145586.0,3630.0,12.0484,12.0484,0.04030760077461547,0.048037189396305274
106.0,43391790.0,119183.0,1575.0,10.3194,10.3012,0.04904013527379847,0.05421536105578567
107.0,60954824.0,32881.0,2419.0,11.3568,11.9574,0.03449803773641582,0.044535595252008925
