l,model_seed,train_index,test_index,tau_f_nmse,tau_f_se,nmse,se
25.0,15865432.0,8973.0,170.0,0.27240000000000003,0.3178,0.31446184271096644,0.21891144135633114
26.0,13355909.0,93643.0,498.0,0.29510000000000003,0.3405,0.3133150928185945,0.23344590032288035
27.0,86968354.0,87320.0,228.0,0.27240000000000003,0.3632,0.3935203625049988,0.24477287902631834
28.0,80572996.0,1514.0,277.0,0.4313,0.4767,0.2998504897895306,0.24911288544608984
29.0,3216941.0,11312.0,223.0,0.29510000000000003,0.3632,0.3232006309979176,0.23537070672714414
30.0,40439613.0,9100.0,32.0,0.2497,0.3405,0.34002508301328027,0.2414743322089256
31.0,18550049.0,78592.0,318.0,0.227,0.29510000000000003,0.3516554783057454,0.21936883663781104
32.0,56142155.0,88586.0,344.0,0.29510000000000003,0.3859,0.42904869288859226,0.24992849227749878
33.0,49644956.0,88823.0,401.0,0.4994,0.5902000000000001,0.33751731618134684,0.23634009395597375
34.0,62547132.0,37900.0,327.0,0.3405,0.3859,0.2864647891460627,0.2268589996494091
35.0,91338944.0,26164.0,185.0,0.3405,0.3405,0.24898712949630372,0.23672769890012776
36.0,99527190.0,76410.0,23.0,0.3178,0.3859,0.3286838174742153,0.24500320155323368
37.0,68705553.0,29810.0,130.0,0.3405,0.3632,0.2766162067362216,0.2367536857588841
38.0,10817078.0,77957.0,57.0,0.29510000000000003,0.29510000000000003,0.2430105014510392,0.22817540889757476
39.0,22660869.0,96060.0,240.0,0.3405,0.3859,0.3066835207859174,0.22548548066101537
40.0,4837250.0,98760.0,82.0,0.27240000000000003,0.3178,0.3039902286556367,0.24629968174306313
41.0,7474509.0,40138.0,410.0,0.5221,0.5902000000000001,0.3161639893344455,0.24359164603559116
42.0,44427917.0,94703.0,114.0,0.3405,0.3632,0.25818806404736455,0.2402242923977705
43.0,5106735.0,67522.0,21.0,0.3405,0.4086,0.3394927091108598,0.23820668443962065
44.0,67319410.0,89081.0,204.0,0.3859,0.4313,0.30403044555309044,0.22096233259400133
45.0,37932425.0,1990.0,250.0,0.4086,0.4767,0.3198095755461811,0.2296764542317206
46.0,19527930.0,60348.0,437.0,0.3632,0.4313,0.3028535899903734,0.2495815699877033
47.0,60850837.0,95319.0,386.0,0.3178,0.3859,0.3295546436172938,0.23324459876751114
48.0,866301.0,23674.0,13.0,0.3632,0.4313,0.35546834676448746,0.2410379580982034
49.0,25832899.0,70798.0,98.0,0.3405,0.3632,0.2656784964968081,0.21905970849923417
50.0,13977195.0,49497.0,396.0,0.4086,0.5221,0.41060749733212154,0.24514991831870403
51.0,53491099.0,30282.0,80.0,0.3405,0.3859,0.35645888830245154,0.2429950693083417
52.0,23400602.0,71410.0,269.0,0.227,0.27240000000000003,0.3061422272630897,0.2401904599615855
53.0,88657876.0,85321.0,109.0,0.3405,0.454,0.3712632072522217,0.24063133896934855
54.0,16855943.0,27575.0,173.0,0.3632,0.454,0.4194821491773415,0.24535911058621943
55.0,9682490.0,57446.0,238.0,0.29510000000000003,0.3178,0.28023941337161756,0.22614647821230557
56.0,13716531.0,83688.0,13.0,0.3405,0.3859,0.33131579875818673,0.226086149449681
57.0,82303237.0,68723.0,111.0,0.4313,0.5221,0.3056209128181963,0.24615098655551845
