l,model_seed,train_index,test_index,tau_f_nmse,tau_f_se,nmse,se
23.0,30689286.0,124546.0,1071.0,10.647,10.6106,0.042290541422134814,0.10280032998189112
24.0,57843535.0,38601.0,3298.0,13.3406,13.3406,0.041262114383489035,0.04206758750186274
25.0,81011961.0,120870.0,1027.0,11.284,11.2294,0.04829481304495945,0.09866345604205096
26.0,61315914.0,89695.0,4360.0,10.4832,12.3396,0.0409960411587705,0.043014707235227864
27.0,33285633.0,75539.0,4662.0,8.9544,8.8998,0.03466023026812012,0.13278904766344413
28.0,26734304.0,53811.0,2419.0,10.01,11.2658,0.047622972604818715,0.04928579290208112
29.0,99149860.0,124033.0,4130.0,10.2102,12.649000000000001,0.05492989140831876,0.04719776830019921
30.0,73339119.0,151452.0,3164.0,12.1758,12.1212,0.03997992816640709,0.1426646623608919
31.0,91625342.0,16997.0,1958.0,13.3952,13.377,0.047015156136367156,0.058430615003638796
32.0,76204132.0,153696.0,2355.0,8.1354,9.973600000000001,0.03997528401566017,0.04990325724964649
33.0,12454251.0,36478.0,3168.0,12.1576,12.1394,0.03987506395336937,0.057082613921048166
34.0,14828486.0,103729.0,3210.0,11.648,11.611600000000001,0.04476232549104524,0.10465921563606476
35.0,92917728.0,86746.0,264.0,9.464,11.284,0.044781560803969084,0.03915069185655253
36.0,68926296.0,82365.0,4401.0,8.9908,10.2102,0.04497291925451686,0.0499265158585024
37.0,45339590.0,131698.0,3228.0,9.8462,9.7916,0.049346386210605477,0.11724420074006778
38.0,78018321.0,111273.0,927.0,10.01,9.973600000000001,0.04173651471123209,0.07030751120117197
39.0,70725889.0,374.0,4558.0,11.5752,12.7582,0.04410115304824175,0.045326450107904155
40.0,82196660.0,87038.0,1619.0,11.939200000000001,13.1768,0.03087745811734289,0.04486820087393504
41.0,41213981.0,52068.0,2732.0,11.156600000000001,11.739,0.07366704664155485,0.0469542697811829
42.0,20895274.0,101842.0,1444.0,10.465,10.465,0.037173740771644814,0.04686208666501696
43.0,49288980.0,70033.0,3795.0,12.685400000000001,12.649000000000001,0.03470486929391271,0.0775194613484633
44.0,53964150.0,9494.0,3095.0,10.283000000000001,10.2466,0.04281635967224624,0.07041153520496855
45.0,17803963.0,174181.0,3997.0,11.011000000000001,12.2668,0.04848144265960763,0.045778283049493586
46.0,7052596.0,171052.0,2732.0,11.0838,12.2668,0.045932113310567804,0.04009804277264496
47.0,45734559.0,107385.0,1606.0,8.171800000000001,8.0808,0.03802136660314997,0.5715132841354552
48.0,81824848.0,69050.0,3948.0,10.5014,11.7208,0.04302542027932439,0.047143237455234285
49.0,30769473.0,92639.0,4037.0,12.74,14.5782,0.04158525020772841,0.04908729189820658
