l,model_seed,train_index,test_index,tau_f_nmse,tau_f_se,nmse,se
74.0,42801152.0,69860.0,274.0,6.083600000000001,6.1744,0.2797101600866606,0.24515976152898547
75.0,96195743.0,52609.0,285.0,5.7431,5.902,0.3359044637618387,0.24432470108283255
76.0,38806265.0,78969.0,427.0,5.0167,5.311800000000001,0.37404844472821397,0.24494145305997475
77.0,77422348.0,25200.0,369.0,4.0406,4.9713,0.3254252779983722,0.23680313845304315
78.0,42400704.0,62779.0,431.0,3.8590000000000004,4.4038,0.3182253754752557,0.2480413984394571
79.0,5155537.0,91725.0,118.0,3.7682,3.8590000000000004,0.3000546670931658,0.23943714815512585
80.0,30979708.0,57941.0,171.0,5.902,6.038200000000001,0.3368575482634718,0.24618882231300668
81.0,12804311.0,12613.0,383.0,4.0179,4.1768,0.3555475362652313,0.23869027274473142
82.0,21328784.0,87511.0,55.0,4.313000000000001,4.4265,0.3682482625488301,0.24652368585888892
83.0,1368703.0,26701.0,167.0,4.5173000000000005,4.6535,0.3713575654490848,0.2361330990901723
84.0,17492311.0,29118.0,370.0,4.3811,4.4946,0.3312222260293788,0.24903645397415064
85.0,2650518.0,7801.0,30.0,5.4026000000000005,5.5388,0.32812856468902996,0.24338117453788402
86.0,72185019.0,16746.0,124.0,3.4958,3.6093,0.3294020043932105,0.24809265547280349
87.0,30507368.0,33862.0,475.0,4.4492,6.242500000000001,0.3169629445025299,0.2443358304462762
88.0,45163911.0,72888.0,179.0,4.4265,4.5173000000000005,0.2887484635305561,0.23731383635490033
89.0,18774587.0,4484.0,61.0,4.5627,4.676200000000001,0.32228317206891294,0.24094944492118958
90.0,51074446.0,46555.0,255.0,3.8363,4.0633,0.3667357352117435,0.24561291829891835
91.0,39595024.0,24159.0,139.0,4.2449,4.313000000000001,0.3004690622592496,0.2354773202519969
92.0,91858840.0,39811.0,34.0,4.4038,4.994000000000001,0.3364380717453711,0.24722729462913565
93.0,92599782.0,30996.0,74.0,4.2676,4.3584000000000005,0.2925739601683021,0.24516842346927156
94.0,42094483.0,28420.0,470.0,5.2664,5.357200000000001,0.32752396317842575,0.23446782602059582
95.0,98726740.0,58202.0,71.0,4.8578,5.0394000000000005,0.30834022676678835,0.24803028629339052
96.0,23082751.0,31933.0,98.0,5.6296,5.6523,0.2527716861031648,0.24304565722798518
97.0,31468130.0,19240.0,409.0,4.8124,5.1075,0.35765515957042066,0.24796167622350002
98.0,66618416.0,94250.0,476.0,4.3357,4.5173000000000005,0.3494583494320576,0.24778103377836888
99.0,39107024.0,26092.0,372.0,3.8363,4.54,0.3189885001032245,0.24166419711697376
100.0,38052445.0,24216.0,397.0,3.4731,3.5866000000000002,0.3156990191595441,0.2395844353629184
101.0,91755098.0,29132.0,412.0,5.902,6.3787,0.4255266504835189,0.2476805850718768
102.0,6789951.0,93798.0,309.0,5.221,5.470700000000001,0.32250778089249627,0.24432705690815168
103.0,54623089.0,57065.0,387.0,4.1314,4.4265,0.32693899840908724,0.24736003857529754
104.0,69492252.0,15991.0,63.0,4.8805000000000005,5.198300000000001,0.37926742944946285,0.2429825280240877
105.0,25056832.0,55609.0,473.0,4.4265,4.5173000000000005,0.323719278007075,0.23673964731693112
106.0,37969614.0,60905.0,250.0,3.5866000000000002,3.7001000000000004,0.37182201273080845,0.23290726776860587
107.0,49691115.0,265.0,491.0,4.676200000000001,4.8578,0.35566455901748995,0.24952548037427275
108.0,15038445.0,9986.0,395.0,5.3799,5.470700000000001,0.28598272616368015,0.24761112572530244
109.0,73081739.0,37275.0,482.0,3.632,3.7228000000000003,0.35186376004876674,0.2440703450824329
110.0,76669118.0,16203.0,140.0,5.4253,5.675000000000001,0.35086529232126507,0.2493575413583207
111.0,80796279.0,99788.0,426.0,4.767,5.4026000000000005,0.3034386136501428,0.2487230204716481
112.0,5994104.0,89487.0,194.0,4.0179,4.2903,0.27753719951546746,0.2465724660733835
113.0,18723201.0,55440.0,313.0,3.7228000000000003,4.6535,0.25177054586658,0.2426580232172568
114.0,80503851.0,32867.0,337.0,3.4958,3.632,0.3294477892043165,0.24352978864959934
115.0,88850117.0,32143.0,288.0,5.879300000000001,6.197100000000001,0.372111183419544,0.2481312908502681
116.0,80489828.0,1173.0,190.0,3.0872,3.8817000000000004,0.33344804045131804,0.22906432031956733
117.0,29191455.0,50634.0,411.0,3.8363,3.9498,0.3977238462407582,0.22589874539024632
118.0,44080874.0,67444.0,434.0,4.2222,4.4946,0.3471907388807524,0.2496745847276213
119.0,97421824.0,61324.0,165.0,2.2927,2.7013000000000003,0.41079083309482534,0.24664881938122896
120.0,42233126.0,50947.0,460.0,5.9701,6.0155,0.2867168168763381,0.23631637850690668
121.0,23423955.0,62691.0,179.0,4.108700000000001,4.3357,0.3124050273789602,0.2490364565000625
122.0,21301201.0,2135.0,326.0,5.2891,5.3799,0.28808370371926406,0.24418454984805865
123.0,72587235.0,73200.0,327.0,5.7658000000000005,5.833900000000001,0.30430949537754837,0.23708729909562512
124.0,47994211.0,726.0,485.0,3.7909,4.0633,0.3962614335389214,0.24612572097546775
125.0,30819426.0,84307.0,449.0,4.2222,4.3584000000000005,0.3574308973244148,0.23845865349007175
126.0,97173011.0,4911.0,349.0,3.6093,3.8363,0.3527252691081135,0.24916463113944046
127.0,4709623.0,19951.0,339.0,3.7682,4.3811,0.3590193765189449,0.24454856735272287
128.0,98940195.0,49530.0,362.0,4.8805000000000005,5.0167,0.3251225253991763,0.24709549173115317
129.0,31990937.0,26633.0,382.0,4.313000000000001,4.5173000000000005,0.3704848235358771,0.24121679942775778
130.0,25461575.0,41250.0,321.0,6.514900000000001,6.560300000000001,0.2620698801407265,0.24384427819160104
131.0,93580799.0,87602.0,123.0,3.8590000000000004,3.9725,0.405270857910131,0.23741182117533013
132.0,69715399.0,77059.0,120.0,5.7431,5.902,0.3343601716040756,0.24003823882538325
133.0,10881757.0,59826.0,410.0,4.2676,4.5173000000000005,0.31650375827154253,0.24708707049279968
134.0,91579501.0,74944.0,110.0,5.4934,5.5842,0.3378886811055655,0.23801670158624902
135.0,70522730.0,51580.0,31.0,3.3823000000000003,3.6093,0.40805928253835355,0.2436243751999688
136.0,70571691.0,81255.0,102.0,5.1302,5.2437000000000005,0.3457754247854903,0.2411130738540822
137.0,42776557.0,14866.0,240.0,4.4265,4.5173000000000005,0.3172382277537575,0.2448830859669985
138.0,26210569.0,51881.0,192.0,2.5197000000000003,2.6332,0.3299284396382389,0.2481099461289976
139.0,54621815.0,91222.0,67.0,3.7455000000000003,3.8590000000000004,0.3496820737529937,0.24993886675050137
140.0,70051252.0,2868.0,258.0,2.4062,2.4970000000000003,0.3040606985645267,0.24565949152370908
141.0,37797037.0,1665.0,125.0,4.2676,5.6977,0.32783881685019134,0.24687606839055007
142.0,68955033.0,66539.0,55.0,4.2222,4.3357,0.3693776622684262,0.24398176821405262
